102 CC 59;50,14;constat;;;;
3603 WN 68;20,01;Ticket de caisse;;;;
5055 XA 68;80,07;PSP;Peugeot Bleue;;;;
7693 XP 25 ( FP);50,01;PSP Dépôt de plainte;;;;
7991 TB 39;17,29;23/01/19;Peugeot rouge sans permis;;;
AF 983 DX;50,01;Constat 16/04;;;;
AG 029 PK;60; chèque rejeté;;;;
AH 743 ZC;30,01;constat;;;;
AL 395 KN;20; carte grise;;;;
AR 685 ZA;40,36;PSP;Renault grise;;;;
AS 388 NK;50;PSP;Dépôt de plainte;;;
AS 504 LB;10,01;;;;;
AT 571;4,11;;;;;
AW 254 WE;10,03;Ticket de caisse;;;;
AW 408 PW;50,44;carte grise + Permis;;;;
AW 468 CC;40;constat Dépôt de plainte;;;;
Ax 494 XH;20,06;carte grise;;;;
AZ 883 PQ;20,06;constat-Dépôt de plainte;;;;
BC 123 HP;25,06;constat-Dépôt de plainte;;;;
BC 288 BG;12,34;Ticket M Bouklata;;;;
BD 699 WI;20,01;chèque rejeté;;;;
BG 779 WY;60;carte grise + carte d’id;;;;
BH 252 PB;70,03;;Peugeot grise;;;;
BH 616 XW;30,06;carte grise + carte d’id;;;;
BN 911 MG;84,58;PSP;passat rouge;;;
BQ 718 YE;69,08;constat;Dépôt de plainte;;;;
BT 059 DD;30;carte grise + contrôle tec;;;;
BV 162 VM;20;constat;;;;
BV 820 ZG;15,02;constat;;;;
BX 631 YB;20;carte grise;;;;
BY 984 FD;30,01;Ticket erreur TPE;;;;
CA 918 LF;50,02;Dépôt de plainte;;;
CA 918 WK ;30.02;;prépaiement;;;
CB 354 GT;36,3;PSP;;;;
CE 261 PV;60,02;carte grise;;;;
CE 785 PZ;10;constat;;;;
CH 412 AH;79,32;PSP;opel grise 4*4 reperé;;;
CH 967 LL;6,02;carte grise M Zaug Flo;;;;
CJ 101 BT;;pistolet arraché-Dépôt de plainte;;;
CL 635 RG;15,04;PSP;;;;
CN 601 MN;15,01;constat;;;;
CP 033 WP;30,01;CB;;;;
CR 104 CM;30,01;carte grise;;;;
CS 655 NX;20;;;;
CX 231 VA;20;;;;
CY 159 TH;34,9;carte grise cable dem;;;;
DH 151 KB;10,02;carte grise;;;;
DH 225 HH;63,26;PSP;;;;
DJ 931 TR;29;Ticket de caisse;;;;
DK 785 LA;19,98;Ticket de caisse;;;;
DK 957 EQ;5,01;Ticket de caisse;;;;
DM 271 BT;38,78;carte grise;;;;
DM 770 AW;69;chèque rejeté;;;;
DS 533 CX;83;citroen grise kangoo 10/03/19;;;;
DT 066 LY;10,04;Ticket de caisse;;;;
DY 946 GH;57,17;;;;
EC 255 LG;60;rent a car;;;;
EE 402 JQ;20; Ticket + carte de supp;;;;
EE 414 VN;28,33;Erreur prépaiement Patrick;;;;
EG 192 KA;15,01;carte grise -A surveiller – Prepaiement;;;;
EG 587 XQ;15,86;A surveiller – Prepaiement;;1;;
EJ 985 SN;90,26;PSP;Dépôt de plainte;;;
EK 258 YH;20,02;PSP;Peugeot Passat;;;
EK 657 JT;30;Dépôt de plainte;audi A6;;;
EL 586 LN;68;PSP;Dépôt de plainte;;;
EQ 387 AX;25;;citroen noire;;Mr bailly;;;;
EX 447 RC;79,8;Dépôt de plainte;;;;
EX 696 CS;48,92;;Fiat verte;;Mr doublali;;
FC 046 YD;20,13;PSP;Peugeot grise 17/04/19;;;
OT 340 DM;102,45;constat;Peugeot blanc;;;
